City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,shakawe,-18.3667,21.85,27.55,52,84,0.61,BW,1678199412
316,faanui,-16.4833,-151.75,27.7,71,100,4.99,PF,1678199413
317,mankato,44.1636,-93.9994,0.55,97,100,2.06,US,1678199414
318,lucea,18.451,-78.1736,26.59,63,0,3.22,JM,1678199415
319,kavieng,-2.5744,150.7967,25.03,90,100,3.47,PG,1678199416
320,himberg,48.0644,16.448,12.09,69,40,11.32,AT,1678199420
321,lingao,19.9103,109.6859,20.06,79,0,4.06,CN,1678199421
322,pampas,-12.4,-74.9,15.36,60,93,2.45,PE,1678199422
323,galveston,29.3669,-94.9669,22.98,92,100,2.57,US,1678199425
324,holme,56.1138,10.1725,-0.24,85,76,12.17,DK,1678199426
325,gustavo diaz ordaz,26.2333,-98.5833,24.58,85,29,7.03,MX,1678199427
326,kruisfontein,-34.0033,24.7314,21.59,73,47,8.79,ZA,1678199428
327,champerico,14.3,-91.9167,25.3,62,85,1.46,GT,1678199429
328,mubi,10.2676,13.2644,40.37,5,36,4.92,NG,1678199431
329,pontianak,-0.0333,109.3333,25.99,88,20,1.03,ID,1678199432
330,pangai,-19.8,-174.35,26.49,67,85,6.17,TO,1678199433
331,cardston,49.2,-113.3019,-16.92,84,96,0.0,CA,1678199434
332,cedar city,37.6775,-113.0619,-3.46,86,100,2.06,US,1678199435
333,brae,60.3964,-1.353,1.68,57,100,8.68,GB,1678199437
334,brokopondo,4.75,-55.1667,27.36,68,100,3.09,SR,1678199438
335,gasa,31.5,34.4667,18.82,58,80,5.7,PS,1678199268
336,labuhan,-6.8844,112.2051,25.53,86,89,2.92,ID,1678199440
337,pangody,65.85,74.4859,-24.7,97,86,5.49,RU,1678199441
338,ambagarh chauki,20.7833,80.7167,24.77,25,20,2.32,IN,1678199442
339,polignano a mare,40.9959,17.2159,18.07,66,35,3.69,IT,1678199443
340,tomelloso,39.1522,-3.0243,13.62,50,34,10.78,ES,1678199444
341,kewanee,41.2456,-89.9248,4.32,71,100,5.65,US,1678199446
342,darhan,49.4867,105.9228,-0.39,58,100,3.09,MN,1678199448
343,berbera,10.4396,45.0143,26.39,75,6,5.43,SO,1678199449
344,merauke,-8.4667,140.3333,25.98,86,100,5.7,ID,1678199452
345,tessalit,20.1986,1.0114,32.27,5,97,5.3,ML,1678199453
346,udachnyy,66.4167,112.4,-32.07,100,98,2.59,RU,1678199454
347,portland,45.5234,-122.6762,3.53,95,75,2.06,US,1678199196
348,jiangyou,31.7667,104.7167,15.87,74,100,1.53,CN,1678199456
349,kahului,20.8947,-156.47,21.65,85,40,2.24,US,1678199458
350,fort nelson,58.8053,-122.7002,-29.33,100,96,1.04,CA,1678199459
351,kvitok,56.0724,98.4813,-1.92,82,100,5.76,RU,1678199460
352,anadyr,64.75,177.4833,-31.67,74,0,6.0,RU,1678199301
353,kupang,-10.1667,123.5833,25.61,84,100,0.5,ID,1678199462
354,kungurtug,50.5994,97.5228,-9.78,92,93,1.61,RU,1678199464
355,vikhorevka,56.1201,101.1636,-2.23,85,100,5.67,RU,1678199465
356,flin flon,54.7682,-101.865,-23.49,97,86,1.23,CA,1678199466
357,balestrand,61.2076,6.5334,0.0,76,5,0.73,NO,1678199467
358,hede,33.7681,120.2517,13.84,52,18,3.93,CN,1678199468
359,lagoa,39.05,-27.9833,15.37,79,69,15.16,PT,1678199470
360,sisimiut,66.9395,-53.6735,-1.24,71,8,2.74,GL,1678199393
361,fairlie,55.756,-4.8556,6.24,57,37,4.02,GB,1678199473
362,pangnirtung,66.1451,-65.7125,-1.52,80,42,1.79,CA,1678199474
363,luganville,-15.5333,167.1667,25.35,88,21,0.49,VU,1678199475
364,el sauzal,31.9,-116.6833,10.23,75,99,3.6,MX,1678199476
